index;Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;hotel;level_grade_review;level_hotel;month_str;month_num;year;delay_comment;date
10;Charline;Belgique;Chambre Supérieure;1;Septembre 2022;Famille; 10 octobre 2022;Avis mitigé;7.0;"L'hôtel est très joli, le décor est détaillé. 
Le lit double est confortable.
Le monsieur qui nous a accueillit à l'accueil était très sympa. Le petit déjeuner était très copieux, il y a beaucoup de choix différents pour les viennoiseries et les pains, chaque région peut se faire le petit-déjeuner qu'il aime.";"Lors de l'accueil, nous avons été accueilli par un monsieur très gentil, par contre une dame est venu l'interrompre plusieurs fois parce qu'elle avait fini sa journée et qu'il devait faire quelque chose avec elle... elle n'était pas souriante et a bien fait comprendre que nous étions dérangeant.
Nous avions demandé un lit bébé dans la chambre, il y en avait un mais c'est un lit de voyage sans matelas supplémentaire, un lit vraiment pas confortable. Et dans la seconde chambre il y avait un lit très confortable et l'autre pas du tout, matelas très usé. 
Dans une des chambres il y avait des mies de pain sur le sol et des mouchoirs par terre. 
Il manque un frigo dans les chambres car par exemple nous avions du lait pour notre enfant à conserver au frais après ouverture... nous avons pu le jeter alors que le matin notre enfant devait boire du lait.
Je trouve dommage d'avoir des détails comme ceux là négatif alors que c'est actuellement le 2 ème meilleur hôtel de ma chaîne Disneyland Paris";2;Disney's Newport Bay Club;1;6;septembre;9;2022;1;2022-10-10
11;Andre;France;Chambre Supérieure - Côté Lac;1;Septembre 2022;Famille; 1 octobre 2022;cher pour les prestations fournis;6.0;pas loin du parc Disney;pas conforme à ma réservation et pas à la hauteur d un 4 étoiles;2;Disney's Newport Bay Club;1;6;septembre;9;2022;1;2022-10-01
12;Christophe;France;Chambre Supérieure;1;Septembre 2022;Famille; 29 septembre 2022;Cher et bof !;6.0;C'était l'usine ! L'hôtel etait noir de monde, la queue à la réception, des groupes bruyants, des couloirs interminables, signalisation insuffisante des ascenseurs, manque de souplesse du personnel appliquant des procédures rigides ...;;1;Disney's Newport Bay Club;1;6;septembre;9;2022;0;2022-09-29
13;Severine;Belgique;Chambre Supérieure;1;Septembre 2022;Famille; 25 septembre 2022;déçu de bcp de chose;6.0;personnel super gentil bien placer par rapport au parc Disney;"chambre déplorable, matelas TRÈS USÉS ( très mal au dos au réveil) sanitaire à refaire complètement 
propreté correcte mais peux mieux faire au vu du prix de la nuitée 530€ sans petit déjeuner pour 4";1;Disney's Newport Bay Club;1;6;septembre;9;2022;0;2022-09-25
14;Francois;Belgique;Chambre Supérieure;1;Septembre 2022;Famille; 21 septembre 2022;Très bien;8.0;la situation et les décors le confort;manque d’équipements pour le prix . pas de frigo ds la chambre une cafetière sans café . là contrôleur de la Clim qui ne marche pas très bien;0;Disney's Newport Bay Club;2;6;septembre;9;2022;0;2022-09-21
15;Sylvie;France;Chambre Supérieure - Côté Lac;2;Août 2022;Voyageur individuel; 31 août 2022;Avis mitigé;7.0;Hôtel : magnifique. Très belle décoration. Parties communes et restaurants très agréables;La chambre : absolument pas la hauteur du prix. Absence de produits de toilettes, de nécessaire à cafe-the-tisane. Les chaînes Disney de la TV étaient indisponibles. Linge de toilette vieillissant. Besoin général d'un rafraichissement. Ne correspond pas à une chambre d'hôtel 4****;1;Disney's Newport Bay Club;1;6;août;8;2022;0;2022-08-31
16;Fatima;Belgique;Chambre Supérieure;2;Juillet 2022;Famille; 15 août 2022;Agréable;7.0;La chambre et le déjeuner;;0;Disney's Newport Bay Club;1;6;juillet;7;2022;1;2022-08-15
17;Jack;Belgique;Chambre Supérieure;1;Août 2022;Famille; 7 août 2022;Prix élevé mais totalement justifié;7.0;Déjeuner de qualité, service rapide, personnel sympa et disponible.;Pas de frigo dans la chambre dommage.;0;Disney's Newport Bay Club;1;6;août;8;2022;0;2022-08-07
18;Maëva;France;Chambre Supérieure - Côté Lac;1;Août 2022;Famille; 4 août 2022;excellent;8.0;la déco, la piscine;rien;0;Disney's Newport Bay Club;2;6;août;8;2022;0;2022-08-04
19;Rosetta;France;Chambre Supérieure - Côté Lac;1;Juin 2022;Famille; 15 juillet 2022;agréable mais manque d animation;8.0;le décor la propreté;pas de personnages Disney;0;Disney's Newport Bay Club;2;6;juin;6;2022;1;2022-07-15
20;Jean;France;Chambre Supérieure;2;Juillet 2022;Famille; 8 juillet 2022;très cher sans raison;6.0;pas grand chose, c’est vétuste , les salles de bains sont pitoyables ,le mobilier est dans un état pitoyable . bref pour le prix peu mieux faire …;états du mobiliers dans les chambres , le service;0;Disney's Newport Bay Club;1;6;juillet;7;2022;0;2022-07-08
21;Lionel;France;Chambre Supérieure;1;Juillet 2022;Famille; 8 juillet 2022;Bien mais trop cher;7.0;La localisation;Le petit déjeuner est vraiment hors de prix;0;Disney's Newport Bay Club;1;6;juillet;7;2022;0;2022-07-08
22;Brahim;France;Chambre Supérieure - Côté Lac;2;Juin 2022;Famille; 26 juin 2022;Très bien;8.0;Belle hôtel bon emplacement;Les Lits devraient être plus large;0;Disney's Newport Bay Club;2;6;juin;6;2022;0;2022-06-26
23;Brice;France;Chambre Supérieure avec Terrasse;1;Juin 2022;Famille; 17 juin 2022;je ne passerais plus par booking pour mes vacances;7.0;Disneyland;nous avons louer une chambre supérieur avec terrasse je cherche toujours la terrasse … ne louer pas de chambre avec terrasse quand celle ci est inexistante;0;Disney's Newport Bay Club;1;6;juin;6;2022;0;2022-06-17
24;Jessica;La Réunion;Chambre Supérieure;1;Juin 2022;Famille; 15 juin 2022;Super malgré quelques points à améliorer;8.0;Le personnel est extrêmement agréable, tout est fait pour que nous ayons un accueil chaleureux;Plateau de courtoisie des anciens occupants non débarrassé, pas de dosette pour la cafetière, salle de bain vieillissante (distributeur de savon et porte serviettes cassés);0;Disney's Newport Bay Club;2;6;juin;6;2022;0;2022-06-15
25;Emilie;Suisse;Chambre Supérieure - Côté Lac;4;Mai 2022;Famille; 14 juin 2022;Agréable;6.0;La proximité avec le parc, les grandes piscines intérieures et extérieures assez chauffée pour les enfants, la gentillesse du personnel du bar.;"Le lit bébé pour notre fille de 2ans ! 
Cet hôtel doit accueillir une multitude d'enfants et pourtant le lit se résumait à un voeux lit parapluie avec un drap blanc trop grand. 
Pas de drap Disney sympa, pas de petit kit d'arrivée, de petit savon ou produit de soin pour les enfants. C'est limite pour un 4*.
Le service minimum dans la chambre. 
Il fallait toujours réclamer pour avoir du papier toilette, de l'eau ou même des cotons-tiges. Tout est disponible gratuitement mais rien n'est mis dans la chambre.";2;Disney's Newport Bay Club;1;6;mai;5;2022;1;2022-06-14
26;Valène;France;Chambre Supérieure - Côté Lac;1;Juin 2022;Famille; 11 juin 2022;Très bien;8.0;le décor, le personnel et la proximité avec le parc;Pour le prix déçue de ne pas voir les personnages dans l’hôtel. la TV ne fonctionnait pas le 1er jour et pas de capsule à café à côté de la machine à café.;0;Disney's Newport Bay Club;2;6;juin;6;2022;0;2022-06-11
27;Anaïs;France;Chambre Supérieure - Côté Lac;1;Mai 2022;Famille; 2 juin 2022;Super !;8.0;"Chambre très spacieuse, propre
Superbe vue sur le lac";"Pas de café/thé à disposition dans les chambres 
Manque de serviettes et de prises électriques";0;Disney's Newport Bay Club;2;6;mai;5;2022;1;2022-06-02
28;Etienne;Suisse;Chambre Supérieure avec Terrasse;2;Mai 2022;Famille; 28 mai 2022;Nous avons passé un très bon séjour dans l’ensemble!;8.0;"• le buffet Cape-Cod, petit-déjeuner et dîner est de bonne qualité, heureusement au prix, certes, mais même les plats de poissons et fruits de mer sont savoureux , rare dans une telle industrie!
• les cast members (employés) se donnent énormément de peine pour être avenants et sympathiques (même sur une journée rouge et noire en fréquentation) 
• les chambres sont confortables et fonctionnelles 
• les flux et infrastructures sont bien pensés";"rien de trop significatif à signaler ;
• rapport qualité-prix on ne reviendra pas dessus c’est Disney c’est ainsi et on est post-covid soit
• mal reçu au desk Concierge pour une demande, pas gravissime, je m’attendais pas à des miracles clé d’or , je voulais juste me renseigner s’il y avait une chance de déplacer une réservation buffet soir de 45 minutes en anticipant , la réponse du monsieur:
« c’est ça ou McDo estimez vous heureux de pouvoir dîner avec vos enfants » j’aurais préféré un « désolé rien n’est possible pour ce soir » pour un 4* à ce tarif…";3;Disney's Newport Bay Club;2;6;mai;5;2022;0;2022-05-28
29;Emilie-julien;France;Chambre Supérieure;1;Mai 2022;Famille; 21 mai 2022;Un très bel hôtel, un très beau séjour malgré quelques petits problèmes au démarrage.;8.0;L'hôtel, sa situation, sa décoration, les équipements qu'il propose correspondent véritablement à nos attentes lors de la réservation. Cela a été une parenthèse magique, enchantée pour notre famille.;"Nous n'avons pas eu de chambres adjacentes alors que nous l'avons demandé. Après l'enregistrement, le personnel nous a indiqué qu'un sms nous serait envoyé pour nous prévenir que les chambres étaient prêtes, mais nous ne l'avons jamais reçu. Il y a enfin eu un problème au moment de l'enregistrement des cartes pour accéder aux chambres ; nous nous sommes rendus compte qu'elles n'étaient pas activées, devant la porte de la chambre [...]. Dommage. Malgré ces désagréments dont on pourrait ce passer compte tenu du prix de l'hôtel, le séjour s'est très bien passé.";1;Disney's Newport Bay Club;2;6;mai;5;2022;0;2022-05-21
30;Emmanuel;France;Chambre Supérieure - Côté Lac;2;Mai 2022;Famille; 16 mai 2022;Bien ;7.0;la qualité de la restauration;;0;Disney's Newport Bay Club;1;6;mai;5;2022;0;2022-05-16
31;Romain;France;Chambre Supérieure;1;Mai 2022;Famille; 7 mai 2022;Agréable;6.0;Disney accueil parfait;"La chambre : 
Lit 140 matela qui a vecu
Robineterie non vice qui tourne sur elle meme
Chambre besoin d un coup de jeune
Pour 350 euro la nuit ......";1;Disney's Newport Bay Club;1;6;mai;5;2022;0;2022-05-07
32;Calot;France;Chambre Supérieure;1;Avril 2022;Famille; 2 mai 2022;ULTRA CHER !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;7.0;Nous allons à l'hotel à coté du Parc Disney donc avec des enfants. Le menu Enfant 30€ et le petit déjeuné 23€ pour un enfant de 4 ans est tout simplement aberrant!!!!!!!!!!! et même pour un enfant de 9 ans.;;0;Disney's Newport Bay Club;1;6;avril;4;2022;1;2022-05-02
33;Arnaud;France;Chambre Supérieure;1;Mars 2022;Famille; 29 avril 2022;.SOS doudous laisse un goût amer...;7.0;La chambre est spacieuse et bien équipée. L'hôtel est grandiose est super bien place à côté du parc;Nous avons oublié les doudous dans la chambre. Nous avons appelé l'hôtel immédiatement après l'avoir quitté pour les prévenir mais rien a été fait... Il est désolant que dans un hôtel à ce prix, qui reçoit des milliers d'enfants chaque jour, dans un parc qui émerveille les enfants, aucun service doudous perdus soit mis en place et que les doudous ne soient pas mieux considérés que cela...;1;Disney's Newport Bay Club;1;6;mars;3;2022;1;2022-04-29
34;Laurence;France;Chambre Supérieure;1;Avril 2022;Famille; 28 avril 2022;Site de l'hôtel idéal, qualité équipements et chambres moyenne;6.0;Le personnel a l'écoute . La propreté et le calme.;Chambre familiale exiguë. Salle de bains vétuste. Rapport qualité- prix pas adapté du tout.;0;Disney's Newport Bay Club;1;6;avril;4;2022;0;2022-04-28
35;Sylvie;France;Chambre Supérieure;1;Mars 2022;Famille; 24 avril 2022;Très bon séjour, dommage que le beau temps n'y était pas.;8.0;Super petit déjeuner et le personnel trop gentil ! Par contre notre chambre était un peu vieillotte, je m'attendais à mieux.;La déco faisait vieillotte, télé que nous l'avions connue il y a quelques années.;0;Disney's Newport Bay Club;2;6;mars;3;2022;1;2022-04-24
36;Gilles;France;Chambre Supérieure;1;Mars 2022;Famille; 19 avril 2022;Très bel hôtel, bien situé à l'entrée du parc. Mais absolument pas confortable, literie : une cata;6.0;"La situation de l'hôtel est top, juste à côté du parc. On est directement plongés dans l'ambiance Disney.. 
Le restaurant est excellent, heureusement car très très cher...";"Literie absolument pas au niveau pour le prix demandé... le matelas : une vraie planche, on se réveille avec un mal de dos pas possible. Les oreillers mous.. salle de bain vieillotte.
Pour le prix payé ce n'est absolument pas normal de dormir aussi mal...";0;Disney's Newport Bay Club;1;6;mars;3;2022;1;2022-04-19
37;Dominique;France;Chambre Supérieure - Côté Lac;4;Mars 2022;Famille; 13 avril 2022;Très correct prix en rapport avec les prestations;8.0;Cadre situation Pdj en chambre;Un p’tit coin repas plus pratique;0;Disney's Newport Bay Club;2;6;mars;3;2022;1;2022-04-13
38;Coralie;France;Chambre Supérieure;1;Mars 2022;Famille; 12 avril 2022;Bien ;7.0;L emplacement par rapport au parc;L'impossibilité pour mon fils de prendre une photo avec le personnage car il était trop tard .....;1;Disney's Newport Bay Club;1;6;mars;3;2022;1;2022-04-12
39;Corinne;Israël;Chambre Supérieure;2;Avril 2022;Famille; 11 avril 2022;Très bien;8.0;"La cjambre etait grande. Le personnel tres accueillant. La chambre propre.
Le lac magnifique et la proximité a disney extra.";"La chambre est trop loin de l ascenseur. 323 pas pour y accéder 
Il n y a pas de café et de restaurant a part le petit dejeuner.
L acclim ne marche pas trop bien.";0;Disney's Newport Bay Club;2;6;avril;4;2022;0;2022-04-11
40;Franck;France;Chambre Supérieure;1;Avril 2022;Famille; 9 avril 2022;Très bien;8.0;"Le décor 
La réaction pour nous changer de chambre (10min)";"Je pense qu’il mette au second plan les réservations Booking.com 
Heureusement après un appel à la réception on nous a changer de chambre";0;Disney's Newport Bay Club;2;6;avril;4;2022;0;2022-04-09
41;Anne-sophie;Belgique;Chambre Supérieure;2;Avril 2022;Voyageur individuel; 9 avril 2022;Bien ;7.0;le confort, l’amabilité, le fait qu’on puisse voir des personnages de Disney;le fait qu’on débarrasse la table du déjeuner alors que je n’avais pas fini, 28€ pour un buffet à volonté et qu’on débarrasse la table ça fait cher payé.;1;Disney's Newport Bay Club;1;6;avril;4;2022;0;2022-04-09
42;Jennifer;France;Chambre Supérieure;1;Avril 2022;Groupe; 8 avril 2022;passable;7.0;la propreté des lieux;nous devions avoir une baignoire et deux lits doubles. Et nous avons eu un lit double et un lit superposé ainsi qu’une douche… quelle déception;1;Disney's Newport Bay Club;1;6;avril;4;2022;0;2022-04-08
43;Marie;France;Chambre Supérieure;2;Avril 2022;Famille; 2 avril 2022;Très bien;8.0;La chambre, la rencontré avec Mickey;Le prix du buffet;0;Disney's Newport Bay Club;2;6;avril;4;2022;0;2022-04-02
44;Nor;France;Chambre Supérieure;1;Mars 2022;Famille; 1 avril 2022;Très bien;8.0;la douche c une catastrophe;;0;Disney's Newport Bay Club;2;6;mars;3;2022;1;2022-04-01
45;Keitoun;France;Chambre Club Compass (2 Adultes);1;Mars 2022;Famille; 30 mars 2022;Très bon séjour, à renouveler;8.0;La situation, le compass club car on est chouchoute;Un seul peignoir pour 2 personnes, l'absence de gel douche dans la salle de bain;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-30
46;Marie;France;Chambre Supérieure;1;Mars 2022;Groupe; 30 mars 2022;tres bon séjour;6.0;La proximité du parc, le décor et thème de l’hôtel. personnel agréable;chambre très loin de l’entrée, j’ai du traverser des couloirs infinis pour y accéder avec ma fibromyalgie c’est très compliqué de marcher autant avec les douleurs chroniques;0;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-30
47;Lidia;France;Chambre Supérieure;1;Mars 2022;Famille; 30 mars 2022;Hotel classe personnel souriant chambre agréable et lit confortable;8.0;"Tout proche du parc Disney
Bel hôtel bien classe";"La machine à café complètement à l opposé de la chambre 
La lumière et le bruit à côté du sauna hamam";0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-30
48;Aurélie;Belgique;Chambre Supérieure;1;Mars 2022;Famille; 29 mars 2022;sympa;7.0;le côté féerique les détails de disney;"- longue attente au check in le soir 
- lit double 1m40
- le prix du petit déjeuner 
- la chambre tout au bout de l’hôtel 
- pas de brosse pour les toilettes";0;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-29
49;Kahina;France;Chambre Supérieure;1;Mars 2022;Famille; 28 mars 2022;Magnifique;8.0;Les réceptionnistes étaient top et tout les autres personnels de l’hôtel était top. :-);Certains défauts dans la salle de bain;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-28
50;Vincent;France;Chambre Supérieure;1;Mars 2022;Famille; 28 mars 2022;Très bon séjour détente en famille;8.0;"La proximité de l'hôtel par rapport au Parc grace à la navette gratuite.
Le restaurant de qualité mais des prix 4* : 38€ le buffet du soir sans les boissons, 28 le petit déjeuner.";"Pourquoi nous punir en nous installant dans la chambre la plus loin de la réception ? ( 3394 au fond du couloir aile Est )
Je n'ai jamais vu un couloir aussi long ! ( je pense qu'il y a record )
Est-ce parce que nous avons réservé avec Booking ?";0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-28
51;Jonathan;France;Chambre Supérieure;1;Mars 2022;Couple; 26 mars 2022;Parfait.;8.0;Propreté et proximité des parcs;;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-26
52;Daniel;France;Chambre Supérieure;1;Mars 2022;Groupe; 26 mars 2022;Bien pour les enfants moins pour les adultes;7.0;Les petites attantions, le décor, le personnel. La prestation dans son ensemble était bien surtout pour les enfants qui étaient très contents.;La localisation de la chambre, lorsque j'ai fais la réservation j'avais demandé à ce que les chambres soient à côté mais à mon arrivée l'info n'avait pas été transmise par booking d'après Disney. Néanmoins les cast memebers ont réussi à mettre les chambres côte à côte mais à l'autre bout de l'hôtel ce qui est le point négatif de mon séjour, presque 5 minutes de marche.;0;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-26
53;Pascal;Belgique;Chambre Supérieure;1;Mars 2022;Couple; 23 mars 2022;Un peu déçu;7.0;J ai connu l hôtel à ses débuts, la deco etait plus chic;;0;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-23
54;Aurore;France;Chambre Supérieure;1;Mars 2022;Famille; 21 mars 2022;Agréable;6.0;il n’y a rien à dire sur le personnel très souriant et accueillant au top;"la chambre pas insonorisée il n’y a pas l’équipement de la description type bouilloire la propreté n’était pas à 100% poussière dans la chambre poils au niveau sanitaire 
et pour une chambre supérieur je ne vois absolument pas le plus d’une chambre standard";0;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-21
55;Marielle;France;Chambre Supérieure;1;Mars 2022;Famille; 19 mars 2022;Très bon hôtel pour un séjour à Disneyland;8.0;"La proximité des parcs
La propreté de l'hôtel
La prise en charge rapide à l'arrivée
Très bon accueil pour les petits déjeuners";"La réception à l'étage quand nous arrivons du parc donc nous devons chercher lorsque nous ne connaissons pas l'hôtel
Peu de pression dans la douche
Le matelas un peu trop dur";0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-19
56;Lauren;France;Chambre Supérieure;1;Mars 2022;Groupe; 19 mars 2022;Bien ;7.0;"proximité du parc 
literie confortable";douche. Eau trop chaude ou trop froide, pas possible de régler;1;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-19
57;Mireille;France;Chambre Supérieure - Côté Lac;2;Mars 2022;Famille; 19 mars 2022;bon séjour mais revoir points négatifs, meubles vieillissants;8.0;l’ambiance, le personnel, les chambres spacieuses, le service;le chauffage ne fonctionnait pas, la commode tiroirs défectueux,;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-19
58;Marie;France;Chambre Supérieure;1;Mars 2022;Famille; 14 mars 2022;excellent séjours;8.0;magnifique hotel superbe piscine bon accueil;petit déjeuné très chère et moyen pas assez de choix;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-14
59;Elodie;France;Chambre Supérieure;1;Mars 2022;Famille; 13 mars 2022;séjour agréable;7.0;l emplacement;l immensité;0;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-13
60;Marine;La Réunion;Chambre Supérieure;1;Mars 2022;Famille; 12 mars 2022;bien;7.0;sa beauté qui fait rêver;trop type aéroport, pas assez de personnalisation avec les clients, pas assez d’écoute à la conciergerie sachant qu’avant de venir le numéro est toujours injoignable;1;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-12
61;Danitza;Belgique;Chambre Supérieure;1;Mars 2022;Famille; 12 mars 2022;Embarquez pour une croisière avec Donald;8.0;Le cadre, la gentillesse du personnel, le petit-déjeuner.;Les lits sont petits pour deux adultes. Lit bebe = lit parapluie (prévoir un matelas de voyage en plus).;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-12
62;Emilie;Allemagne;Chambre Supérieure;1;Mars 2022;Famille; 11 mars 2022;Très bien;8.0;La situation avec ma proximité du village Disney, la vue sur le lac, le confort de la literie;Le rapport qualité prix;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-11
63;Sarah;France;Chambre Supérieure;1;Mars 2022;Couple; 11 mars 2022;Très bon séjour;8.0;Le personnel est très adapté et réactif. L’hôtel est joli. Les prestations sont de qualité pour le prix que l’on paye. La vue lac est sublime, je recommande fortement cet hôtel.;"Les rideaux de la chambre ne sont pas du tout occultants. Il m’a été très difficile voir impossible de dormir sans le noir complet. J’ai déjà réservé un nouveau séjour en janvier et je conseille de prendre un masque de voyage pour les personnes comme moi.. je me suis endormie d’épuisement à 6h30. 
L’eau de la piscine comme tous les hôtels disney mériterait d’être plus chaude.
Je vous conseille de prendre votre petit déjeuner au New York, plus calme pour le même prix.";0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-11
64;Demay;France;Chambre Supérieure;1;Mars 2022;Famille; 10 mars 2022;Top, merci. l hôtel est très bien situé par rapport au parc. tout peut se faire à pieds;8.0;très bon séjour, tout était bien . Piscine top;les chambres un peu vétustes;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-10
65;Anne-laure;France;Chambre Supérieure - Côté Lac;1;Mars 2022;Famille; 9 mars 2022;Très bien;8.0;Accueil toujours aussi agréable. Un très très grand plaisir de revenir à chaque fois dans cet hôtel 😊;"Le lit inférieur n'avait pas de drap. Donc très compliqué pour dormir dedans.
Le fait de voir qu'une prise électrique avait pris feu auparavant n'est pas très rassurant quand nous devons branché une machine pour la nuit.";0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-09
66;Aurélie;France;Chambre Supérieure - Côté Lac;1;Mars 2022;Famille; 8 mars 2022;Très bel hôtel;8.0;Le cadre, la proximité avec le parc, le thème. Le personnel est particulièrement agréable c'est un plaisir;L'hôtel à beaucoup de qualité, toutefois le tarif est vraiment très élevé. C'est le prix à payer pour la proximité j'imagine, mais tout de même..;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-08
67;Sarah;France;Chambre Supérieure;1;Mars 2022;Couple; 8 mars 2022;très bien;8.0;l’ambiance et le personnel;l’emplacement de la chambre;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-08
68;Cyrille;France;Chambre Supérieure;1;Mars 2022;Couple; 7 mars 2022;très bien;8.0;le lit confortable , le calme , la restauration autour;l’emplacement, le manqué d’équipement et aussi la décoration un peu vieille;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-07
69;Carmen;France;Chambre Supérieure - Côté Lac;1;Mars 2022;Famille; 7 mars 2022;Bien ;7.0;"La prestation de l'hôtel 
L'hôtel n'a pas des chambres abîmées avec des coups partout.
Le confort 
Le standing de cet hôtel
Le bar c'est super
La proximité avec le parc";"Les poils ou cheveux trouvés sur la taie d'oreiller 
La salle de bain, en prenant un bain, vous voyez toutes les choses non nettoyés.
Un moment de détente qui se transforme en un moment je veux Vite sortir de la....";0;Disney's Newport Bay Club;1;6;mars;3;2022;0;2022-03-07
70;Audrey;France;Chambre Supérieure;1;Mars 2022;Famille; 5 mars 2022;très bon séjour en famille.;8.0;"la propreté et le confort de la chambre. 
la disponibilité de 2 lits parapluie pour nos jumeaux et la gentillesse du personnel. 
le passage de minnie le soir à l’hôtel était très appréciable.";pour trouver un côté négatif… cafetière dans la chambre mais pas de dosettes à dispo.;0;Disney's Newport Bay Club;2;6;mars;3;2022;0;2022-03-05
