country;nuitee;traveler_infos;review_title;positive_review;negative_review;usefulness_review;delay_comment;id_client
Belgique;1;Famille;magique;le thème, la rapidité du personnel quand on demande quelque chose;;0;0;c81675dd-6e91-4721-bffd-1bfa7c3f3baa
France;1;Famille;Agréable;;;0;2;6cdad41d-40d8-4564-96b3-a5a6e5db5488
France;1;Famille;Fabuleux ;;;0;0;3338e1d8-4d63-4722-afb0-79c4b014f1df
France;1;Couple;conforme à mes attentes;"la déco 
le confort 
l’ambiance";;0;0;0b2376f5-6d66-4a6c-b6d2-f5c2121346d2
France;1;Couple;Exceptionnel;;;0;1;bbbf1c0b-cef0-44f1-9d17-27c47493e922
Brésil;1;Famille;Très bien;;;0;0;1a289733-684f-4bf2-8419-64ff2910c661
Espagne;1;Famille;Très bien;;;0;0;b167cd63-fede-4ae4-b93a-4f708e3f28c0
États-Unis;1;Famille;Fun for the kids but overpriced and crowded;;;0;0;da09bb96-86f2-48dd-a6fd-3ebb9ccfc345
Pays-Bas;1;Famille;Mwoa;;;0;0;a836b462-ce5d-45c7-8ec4-471e9e8a901a
Belgique;2;Famille;Fabuleux ;;;0;0;065a76a9-bf64-428f-b21d-18528dc4a3e6
France;1;Famille;Très bien;Personnelle très agréable , a répondu à toutes mes questions . Ce n'est pas le plus chère , mais nous met bien dans l'ambiance. Très bien. Limite mieux que le Parc. Merci a tous.;Manque un peu d'insonorisation et malheureusement pour moi les rideaux ne sont pas assez occultant.;0;0;a38b7c25-803c-43da-86f7-4d7b85fc8409
La Réunion;1;Famille;peut mieux faire;bonne décoration;très livrer à nous même pour arriver dans la chambre;0;0;75b99ce9-8751-4c32-a205-0fd63133f7b5
Royaume-Uni;3;Couple;Décevant;;;0;0;2028508d-ec9c-4e93-a42f-fb196643f6b6
France;2;Groupe;Très bien;"La décoration intérieure sur thème de Toy Story est super. L'extérieur est tout aussi génial, on se croirait vraiment au far west. L'esprit de Noël est assurée à la réception avec sapins, musiques et guirlandes lumineuses.
Autre point positif : l'hôtel est bien desservi avec une navette qui passe environ tout les quart d'heure pour aller aux parcs Disney.";La température de la chambre était un peu basse par rapport à la météo hivernale, et ce malgré le fait qu'on est augmenté le chauffage (réglé sur 27 degrés).;0;0;7ea7ac14-8ff2-4880-aa54-a391b1a4cc37
France;2;Famille;La féerie ds les yeux de nos enfants mais trop cher pour ce que c’est;Les parades;Chambre très moyenne pour un prix très excessive;0;0;6b901bae-fee3-4a46-949b-b5381b3ed3b1
France;1;Groupe;Bien ;;;0;0;8ef2782f-afef-4831-b10b-f311209ee34d
France;3;Famille;Fabuleux ;;;0;0;83dd64f7-95a3-43f9-8f65-5c9de0d98575
Espagne;1;Famille;Très bien;;;0;0;20f18010-86a6-466b-b3e1-e24e4f9e468b
États-Unis;1;Voyageur individuel;Passable;;;0;0;214c4749-c386-4311-a8d6-01f4782d3e2a
Espagne;2;Famille;Bien ;;;0;0;33bc1644-eafe-4ec1-9806-ae11194dbf9d
Irlande;4;Famille;Agréable;;;0;0;213c793e-ad19-4e8a-95f5-b2e290a2e97e
France;1;Couple;Exceptionnel;;;0;2;2c56c656-3a3b-4f00-9a11-19baffd6becc
France;1;Famille;Bien ;;;0;0;4ee93c51-4523-441a-8cb6-18b6d4874851
France;1;Famille;Très bien;;;0;0;f15f82e5-191c-48aa-9c77-565fc60327f0
France;2;Famille;Très bien;;;0;1;26a8e18e-b5ae-40e5-a2b1-0177ab4db289
Singapour;1;Couple;basic hotel stay;;;0;0;ebf09db0-d397-4c86-8906-5d59ad0542e2
Royaume-Uni;1;Couple;Exceptionnel;;;0;0;82e4ea78-a34f-48c7-9605-13c390e2c9ef
Italie;2;Famille;Exceptionnel;;;0;1;371261e7-6028-42da-b431-9c49376a984a
France;1;Couple;parfait;l’ambiance;;0;1;84efcdd3-6346-407f-b71f-bd7ac759c86f
Thaïlande;2;Famille;Agréable;;;0;0;ed934685-2a19-46d8-9c6b-2c86b69a48cd
Mexique;1;Famille;beautiful place, bad help, bad system;;;0;0;5810a65c-24f2-494c-b67e-3721dfeef4f7
Arabie saoudite;5;Famille;Bien ;;;0;0;ad2a62e8-6639-4d45-b9d7-34957689fe4e
Israël;1;Famille;Fabuleux ;;;0;0;33373047-e33e-403d-bb82-ac62448c29cf
Hongrie;1;Famille;Fabuleux ;;;0;0;16d164af-56bc-4903-96d0-3dae4ca47cfd
Suisse;2;Famille;Exceptionnel;;;0;1;28d959a5-ebaf-4995-9156-affd992ff074
France;1;Famille;Décevant;Chambre propre et bien équipée.;"Rideau détachée de la barre ! Laisse passer la lumière ! 
Bagagerie ouverte à 7h30 alors qu'à la réception la veille le CM nous a dit 6h30 !";0;1;e9673d3a-bc38-4b30-aa7d-2cf802aa1c63
Belgique;1;Couple;au top;proximité du parc Disney, disponibilité des employés;chambre loin de la réception;0;1;9464bd05-1326-4a3e-94f2-1f6136a76065
Arabie saoudite;2;Famille;Family Friendly;;;0;1;5876cd67-01e0-4bb4-90ad-195d15248bdf
Royaume-Uni;1;Famille;Exceptionnel;;;0;1;03c563cc-fb7d-414e-b257-c833b7e5a825
France;1;Famille;Exceptionnel;;;0;0;fb35c84e-e051-432e-859a-a103fa06a627
Italie;1;Couple;Exceptionnel;;;0;1;5bd5691d-b8e7-42ea-b6b4-f79dc6ac3975
Afrique du Sud;2;Famille;Fabuleux ;;;0;0;4e10a3b9-105d-439b-8b85-70b9a3d00b8f
France;1;Famille;Très bon séjour dans l'hotel CHEYENNE et envie d'y revenir;L'ensemble des prestations de l'hotel et le personnel;Un peu froid dans la chambre;0;1;0fffb737-4ef5-40c2-bebd-eaa285c31fa9
France;1;Famille;en cette période de noël, tout simplement magique;depuis mes 3 deniers séjours au cheyenne c'est un plaisir d'y retourner , accueil et la bienveillance du personnel sont toujours d'un réconfort.;ras;0;0;5a6935e1-bdfd-4ebb-976f-9c325db9c4cb
Malte;3;Famille;Agréable;;;0;0;247b4e3f-7b02-41fa-b20a-47d54868488e
Singapour;2;Famille;Good stay but if you have more budget I guess go for New York Marvel hotel;;;0;0;050db966-e8af-46d3-9dd9-b49acc97d4f0
Costa Rica;2;Famille;Vacaciones en familia inolvidables;;;0;0;1c3f4e78-5a8a-4ebf-8c0f-8ef206baa984
Pays-Bas;2;Couple;Prima als je op tijd boekt;;;0;1;f53ce3fd-68bb-4ab8-bc33-7b10be434ce8
Brunei;2;Famille;execellent and most memorable place to stay. worth the value;;;0;0;70ed6e26-87b8-4bdc-91c8-19f11874f31f
Allemagne;1;Couple;Très bien;;;0;3;f12c109c-f928-4080-9b07-65c9cfedbc49
France;1;Famille;Mitigé;La proximité avec le parc et les navettes il y en a tres souvent;La vétusté de la chambre l’air froid pasqait a travers la fenetre de la chambre 2287 on a eu tres tres froid toute la nuit trace de rouille au niveau de la robinetterie de la salle de bain et couloir vraiment tres sale (coton tige usagée) pendant 2 jours il n’a jamais été aspiré au prix de la chambre on s’attend quand meme à mieux meme si nous sommes a disney et que tout est tres chers !;0;0;02648470-13d0-46e7-807f-4d49773c7abd
La Réunion;1;Couple;Oui mais....;Hotel bien situé par rapport au parc, navette gratuite pour le parc, décoration de la chambre sympathique;Personne pour nous renseigner le soir dans le hall d'accueil, La distance a parcourir a pied seuls avec nos grosses valises entre le hall et notre chambre, pas d'ascenseur pour les grosses valises . Équipement absent : pas de bouilloire, cafetière, ... Lit double trop petit 1.40 !;0;0;bbaa8895-0e43-4c03-97f4-9cfe44525aa1
France;1;Couple;Bien ;;;0;0;9a20f3e9-e545-46c6-8adc-d63dc4374eef
Royaume-Uni;4;Couple;Passable;;;0;0;3d2ac7f0-b9f7-4567-be83-696f9581e71f
Israël;1;Famille;Très bien;;;0;0;9d13af8c-8350-495d-be7e-6e25e839c84b
Chypre;1;Famille;Fabuleux ;;;0;0;0e438a51-4809-4763-9b1a-e16844672227
France;1;Famille;Rester dans la magie de Disney avec l'univers des cowboys;Le cadre, la décoration de l'hôtel nous plonge dans l'univers Disney. Très appréciable pour les enfants;La chambre un peu loin du restaurant et animations surtout quand il fait froid;0;0;238b71e0-0c97-4873-a257-bee270521f73
France;1;Famille;Agréable;;;0;0;abfd8704-6330-4b8e-8945-a5aaa22e2a7d
Italie;2;Famille;Fabuleux ;;;0;0;dfb37958-92ca-4215-bf8d-8c1709facbf1
France;1;Famille;Sympa mais trop cher;La décoration;Le prix est beaucoup trop élevé en regard des prestations proposées.;0;0;b6fa18be-12be-4483-ba8c-5407ab5ab6af
Pays-Bas;2;Famille;Très bien;;;0;0;9eb1a515-7017-40a9-a677-d9785202c4bd
France;1;Couple;Passable;"La décoration était en accord au thème.
L'emplacement était comme convenue proche des
installations.
Le lit était confortable";"I fesais froid dans la chambre , le chauffage ne
fonctionnais pas
Le personnels n'était pas aimable et nous a mal
renseigné pour ľhoraire de récupération de bagages
nous avons dû faire la file d'attente pour récupérer
nos bagages nous sommes arrivé tard dans la
chambre suite à l'attente car c'était fermé pour
récupérer nos bagages , le personnel ne c'est pas
excusé
Et le sèche cheveux n'était pas efficace et aucun
membre du personnel a pu nous en fournir un autre.";0;1;61284377-d83d-4d7b-bb15-e352911d1d8e
Espagne;1;Famille;Exceptionnel;;;0;0;ccc53e78-9bc9-43e5-8dab-02568fdda2f9
Espagne;1;Famille;estancia agradable, buffet del desayuno variado y camas cómodas;;;0;0;add12fc9-37c2-4a83-ba46-2d814de830ba
France;1;Famille;Fabuleux ;;;0;0;c1645137-b5ba-49c9-9c34-65b392cee0d3
Australie;3;Famille;convinent location;;;0;1;8373cb4b-49a7-44e2-a93a-045dc9e90eca
Japon;1;Couple;oui;proximité;tele marche pas ( problème pour capter les chaînes );0;0;f244eac8-1cd4-4b49-a6fe-4a8bcd32b157
Espagne;3;Groupe;Agréable;;;0;1;84d40860-cdf5-4a29-9612-07adb8107301
Italie;1;Famille;Bien ;;;1;0;2d0a242f-85ad-4db6-a862-b980d77ce7bc
France;1;Couple;Exceptionnel;;;0;0;968767aa-fb0c-4612-afb5-aa58d766373e
Espagne;1;Famille;bueno;;;0;0;63a90ff7-eeed-4cf1-aee9-a0536ce4bae7
Suisse;2;Famille;Passable;;;0;0;e941ac48-f0f6-4f3e-8d8d-61181b74716f
France;1;Groupe;agréable surprise;l’accueil du personnel, le resto, la propreté;;0;1;2754f0fe-93f9-4c85-af82-d5e772cc15ee
France;1;Famille;Décevant;Pratique pour se rendre au parc;Trop froid dans la chambre, clim qui faisait un bruit désagréable, rideaux qui n'occulte pas bien là lumière. Équipements très minimaliste... très froid dans la salle de bain;0;0;cc4f5024-a65d-4803-b2c1-276871ad0721
Israël;1;Famille;Très bien;;;0;0;1c4f2889-1a6f-4ea4-8277-4b288549301f
Espagne;3;Famille;Très bien;;;0;0;cb60736d-3f7e-475b-9eaa-187e98f33c06
Italie;2;Famille;Exceptionnel;;;0;1;9bb9060e-7da2-4347-868f-2d4653ec4d5b
France;1;Famille;Bien ;Lit très confortable;Le manque de gel douche le manque de couverture;0;0;4964a859-5e04-447e-839e-b488a75945a4
Israël;1;Famille;Disney magic all around;;;0;0;341b46a6-c1b8-476a-b230-edc20f2bf086
Espagne;1;Famille;Très bien;;;0;0;a9b80ff1-4ed1-4376-afdc-5981d8892d20
Suisse;2;Famille;pas de grand magie !;le décor, a 3 minutes en bus du parque;"pas de salon confortable pour voir un verre , une seule cheminée dans le bar et rien au restaurant, pas d’animation pour les enfants , nous avons eu froid au restaurant. 
c’est mieux d’aller dans cet hôtel en été.";0;0;07f37684-b031-4098-9d35-512a9f855f62
France;4;Famille;Exceptionnel;Le cadre de l'hôtel qui représente une ville du far West,la chambre thématique,le salon,la boutique, et pas loin à pieds du Disney village.;;0;0;d9121723-393d-408d-91ea-6afafcf48da7
Royaume-Uni;4;Groupe;lovely and staff amazing;;;0;0;c96963eb-ff4b-477d-b274-a3020e14a0ed
France;1;Famille;Passable;Le lit la chambre spacieuse;Une entrée sans frapper du personnel à 9h pour le ménage que l'on doit rendre la chambre à 11h. Baignoire un peu petite. Il faisait froid et pas de couverte supplémentaire.;0;0;ba23d536-beea-4db8-bf65-418497e6ebdc
Espagne;1;Famille;Agréable;;;0;0;36b49877-8f75-4c6c-9322-89e0f9f250a6
Italie;1;Famille;Bien ;;;0;0;298cfdd4-0972-4d00-893f-8d54b2d7139f
Belgique;1;Famille;Agréable;;;0;1;3a6ec3fa-8bf1-458a-b984-c3a632ff870d
Roumanie;1;Famille;Mauvais;;;0;0;a96bdc7f-e169-4c1e-b019-1794d75f98a4
Israël;2;Famille;Très bien;;;0;1;ae93d6d1-1765-4a07-951d-c4ed17af307a
France;1;Famille;Déçu;"La proximité avec le parc Disney 
Le personnel
Les navettes";"Propreté vraiment moyenne ! 
Trous dans le drap
Poussière blanche entre le lit et la table de chevet 
Papier toilette 1/2 rouleau pour 4 
Pas de recharge shampoing le deuxième jour.
Boite a mouchoir 2 mouchoirs dedans.";0;0;12cb4aaa-f49b-4466-864b-1309f22c467b
France;2;Voyageur individuel;Bien ;;;0;1;8727d5c7-cf5a-4c5d-88f5-94b24b8452ac
Grèce;1;Famille;Assez médiocre ;;;0;0;213ba12b-caed-4155-970e-bb5f2974360f
Espagne;1;Famille;Très bien;;;0;1;4c1aa21c-6cd6-49ea-9a26-cefbe3538499
Royaume-Uni;2;Couple;The Disney magic started at the Hotel - we loved it!;;;0;1;ad79a800-661e-43ad-a16d-0f995faa9ea8
France;2;Famille;Très bien;;;0;0;d119dd60-5370-46ec-91a2-86d058688a23
Allemagne;3;Groupe;Exceptionnel;;;0;0;93d6bc40-ab70-450c-afa9-b120bc9f91be
Royaume-Uni;2;Famille;The gullus England 🇬🇧;;;0;0;39b7e696-bc96-445e-8e77-7f3b8dfef00e
Suisse;2;Couple;Fabuleux ;;;0;0;7c9f717d-b6e1-41b5-9921-0ab78899c4a0
Belgique;1;Couple;Fabuleux ;;;0;1;0b5ddd89-5129-48a7-8c87-9a65c33c20b7
France;1;Famille;Un peu déçue;L'amabilité du personnel, les navettes gratuite, le service de bagagerie;Le chauffage qui ne chauffait pas. 2 techniciens sont venus, ont vérifié et nous ont dit que ça fonctionnait. Mais, malgré le réglage de température au maximum, il faisait froid dans la chambre. Pas de chauffage dans la salle de bain.;0;1;0185dc2c-863a-4d7a-ab7c-52e7cd653d03
France;1;Famille;Exceptionnel;;;0;1;e8b89101-b334-4f54-9fe4-177555694a23
France;1;Famille;Bien ;;;0;1;f1e8e9ee-bdda-4a6c-87cc-28bc51b35bae
Israël;1;Famille;תמורה טובה למחיר;;;0;0;e55c7d4c-4027-47b1-860d-200c0047a9b5
Espagne;1;Famille;Para no repetir;;;0;1;a7326d5f-6f0f-417a-8fbf-37cdc0c9ad12
France;1;Couple;Agréable;pas de brosse pour les toilettes;;0;0;ca3f1dca-8914-4b97-84b1-705f12264da3
Espagne;1;Couple;Exceptionnel;Belle ambiance, proche de Disney;;0;0;73367ebd-1f80-4ee6-9c1f-5651f6fcc2dd
Belgique;1;Groupe;Aangenaam verblijf is Disney magie;;;0;1;d3b10980-5f55-4f0d-869e-2798602e7f13
États-Unis;1;Famille;Très bien;;;0;0;53435bde-f8a9-46d7-8608-30234be2bbe9
Espagne;3;Famille;Très bien;;;0;0;fa076eaf-1441-4046-a64a-1d25eaf66cd0
France;1;Famille;Très bien;;;0;0;44839cd1-1a00-4f31-b99d-d90cdfebf8d1
France;2;Famille;Fabuleux ;L'ambiance, la proximité des parcs, la fréquence des navettes, la sécurité (agent de sécurité à l'entrée).;Il manquait des couvertures. C'est dommage de devoir monter le chauffage alors qu'on aurait pu se couvrir avec des couvertures supplémentaires dans le lit.;0;0;88033218-af80-4048-a670-c8127692c7e0
Espagne;1;Famille;Exceptionnel;;;0;0;be1a8530-b3e8-45c0-8ab3-cd66da2706cc
Espagne;1;Famille;Exceptionnel;;;0;0;ceaf1c7d-97c6-4c46-92f6-c74f8966a253
Australie;3;Famille;Magical Disney stay;;;0;0;06cdc8a5-79e7-4b01-8a41-6c0082a91696
Italie;2;Famille;Agréable;;;0;0;261fdd4c-f41a-48bf-8942-80941acfa6f3
France;1;Famille;Très bien;;;0;0;3df178f5-5df2-46a2-8246-0bfa06b1daf8
France;1;Famille;Bien ;;;0;0;46a32937-a8bf-4288-9aac-85fc92cd4a49
Venezuela;1;Famille;Exceptionnel;;;0;0;0401b8b0-03cb-4298-b159-5c7062b06742
France;1;Famille;Décevant;;;0;0;ea98d906-de72-4ce8-8460-cb77f48defa3
Espagne;1;Famille;viaje a la magia;;;0;0;2ea9ff0b-2177-45f5-8714-b5e97cae65a7
France;1;Couple;Mauvais;;;0;0;6756a722-98fa-4079-9b2c-575245df4741
France;1;Famille;Très bien;;;0;0;db1f4f3d-6d2c-4741-bc5a-70f3bd519c27
France;1;Famille;Agréable;;;0;0;9efd7d37-b415-4b8f-870f-a9ddc8bd2e74
France;2;Voyageur individuel;correct pour un séjour professionnel;propreté, politesse personnel, accueil;"localisation de la chambre
prestations très chères par rapport aux attentes (mauvais rapport qualité prix)";0;0;115ffb07-b438-41ec-b8db-7432057af969
France;1;Famille;Bien ;;;0;0;21d004dd-a06e-441a-85e9-23de7cbbda74
Royaume-Uni;2;Famille;Bien ;;;0;0;fd7efae9-5e81-4bdc-bff2-37b5fc5810e7
Royaume-Uni;1;Famille;A very magical experience for the whole family.;;;0;0;1f418d2a-75e2-45ff-99e6-6c70f7235325
Italie;2;Famille;Fabuleux ;;;0;0;a7305397-27bf-48f2-bfb5-ce1c7bee6ef7
France;1;Couple;Très bien;;;0;0;d9f5f653-6cb6-4af1-8eb6-1d5de119f866
Royaume-Uni;1;Famille;Exceptionnel;;;0;0;04de01f9-6311-40b6-93e6-69049d9845a9
Japon;2;Famille;Fabuleux ;;;0;0;174ae01b-f16f-403a-8e49-f0d68353475d
France;1;Famille;Bien ;;;0;0;2141548e-cd82-4745-93bb-e87914e08766
Australie;1;Famille;Great themed Disney hotel in an excellent location with shuttles to Disney;;;0;0;f733282b-efff-4572-96b7-3c7b75b80893
France;1;Couple;Passable;L' aimabilité de la personne à l'accueil;D'entendre les voisins de chambre, les clients dans le couloir...;0;0;6b5fe084-a77f-4e35-821c-7ca607fbb64c
France;1;Couple;Exceptionnel;;;0;0;b67837ec-3e0d-49d0-8fed-93c248e83505
Royaume-Uni;2;Famille;fantastic, we loved every second;;;0;0;1d3f3f3e-2451-494b-a871-9aaea9fa17e4
France;1;Famille;Très bien;;;0;0;6be2a42b-7a2f-4496-a708-ef7f66617177
Pays-Bas;3;Famille;Fabuleux ;;;0;0;c3cebd4d-a61c-459f-bfe2-4211cb8f6f5e
Portugal;1;Famille;Exceptionnel;;;0;0;9a95c268-6e84-4d91-9b6a-1e51afeb4939
France;1;Famille;Superbe;Confort, propreté;"Le p'tit dej café dégueulasse.
En tout cas pour nous";0;0;f4cb913d-fd70-40c1-affd-ad1e350a29ff
Espagne;3;Famille;Bien ;;;0;0;ad07af2e-05cd-4408-a8bb-7762dc0db6bd
France;1;Famille;Sa c'est bien passer;Tous le personnel qu'on a croiser à était au top;Baignoire de salle de bain pas très propre;0;0;c9cbdfac-12fe-4563-9bb9-3006c770378c
Royaume-Uni;3;Couple;Gorgeous hotel with Disney magic;;;2;1;07f1bee7-619b-43cd-b518-12f41b6c39a1
Singapour;1;Famille;Hotel review;;;0;1;245a0c0b-0c3b-4530-98b0-1edd8456527a
Israël;2;Famille;החוויה הייתה מעורבת מאוד וסוף קשוח ביותר. דיסנילנד כולל המלונות והכפר, זו תעשיית כסף מטורפת, לא אשוב;;;2;0;0d972706-5879-455b-8fa0-ec8e34e2e1d9
France;1;Couple;Du coup assez déçu car presque pas dormit a cause de l’équipement de la literie plume;La navette très pratique;Les oreillers pas super avec plumes il faudrait mettre tout en polyester oreiller couette etc car pour les allergies au duvet plumes comme moi c’est pas terrible;0;0;138806e3-80a9-4d14-96ed-599c2dfc8293
Japon;2;Famille;ホテルクオリティは価格以下。;;;0;0;e919cd79-91f2-4aa9-aa21-503cb5432e49
Autriche;2;Famille;Très bien;;;0;0;8d1cee91-f24d-46f8-8405-7779091425b8
France;2;Famille;Très bien;;;0;0;0d1b49bc-c22f-4106-8e0d-78123db3eddf
France;1;Famille;Fabuleux ;;;0;0;2e140235-6d2f-4c96-8fe6-30e4c7883482
Allemagne;1;Famille;Décevant;;;0;1;72540844-7dfc-48e1-9a3b-65dc5b93b1c1
Portugal;1;Voyageur individuel;Assez médiocre ;;;0;0;2d0b04d2-6beb-429a-b0e2-696696c6f71e
Irlande;3;Famille;could been better;;;0;0;9ca78986-51bc-42d3-b139-eca649ed73e6
France;1;Famille;Fabuleux ;;;0;0;c09fe44d-7e90-4e9d-933b-89dbbb701459
France;1;Famille;ne pas y aller;l emplacement le décor;"il fait très froid dans la chambre 
on a demandé de vérifier la Clim car il faut plus froid dans la chambre que dans le couloir 
a 2 reprise on nous a dit qu’on nous enverrai un technicien mais personne n’est venu 
De plus la chambre était terriblement humide, nos vêtements étaient mouillé 
c’est honteux 
nous avons 2 enfants en bas âge et l’hôtel le savait 
ils ont eu froid les 2 nuits passées";0;0;e14cc4e9-6e81-4950-9420-9957ad169953
Espagne;1;Famille;Lo recomiendo para ir a Disney. Bueno bonito barato.;;;0;0;9bcbd398-5ee5-40a9-b9c9-00ad5fbb5953
France;1;Famille;Très bien;;;0;0;e298a34a-3714-44c1-b2cb-2ada2b9140f6
France;3;Famille;Super pour profiter des parcs Disney en famille !;Tout était super, nous avons bien pu profiter des parcs Disney en famille. Les chambres sont spacieuses et très pratiques. Nous avons dîné au restaurant de l'hôtel pour 38€/adulte, pas donné au 1er abord mais il était vraiment très bien, copieux, beaucoup de choix et de qualité, on s'est tous régalé !;"Un peu loin à pieds de Disney Village après une longue journée, un système de navette serait super !
Manque de proposition de plusieurs restaurants dans l'hôtel pour pouvoir changer";0;0;ae2a1d85-9cb8-474e-abd9-077b4912715b
Royaume-Uni;4;Famille;Exceptionnel;;;0;0;7bdcf505-1472-41a5-855e-7e158839fa23
Belgique;2;Couple;Bien;"La chambre est immersive sur le thème de Toy Story, l’univers cowboy est génial ! 
C’était propre.";La réception et le personnel pas très chouette. Mais peut-être sommes-nous mal tombés ?;0;2;7b6a8bff-ed09-4927-b62c-56f204ac4714
France;1;Couple;Fabuleux ;;;0;0;f26d116d-ad73-44ca-b435-e2515ddba719
France;1;Famille;Fabuleux ;L'hôtel est charmant, les navettes pratiques, le Starbucks est une excellente idée, les buffets à volonté pour le dîner et petit déjeuner qu'on n'a pas besoin de réserver son un plus;On aurait voulu avoir du savon pour les mains et non uniquement le gel douche;0;0;701d97ce-ebd3-48c3-9390-241559702801
Royaume-Uni;2;Groupe;Très bien;;;0;0;574caa5c-70c6-4dba-bf56-343db7fef108
Belgique;1;Famille;le parc génial l’hôtel non rien n’était au top;pas grand chose nous avons eu un chambre pour personne à mobilité réduite alors que nous avons payé deux chambres séparées c’est honteux;vous nous avez fait payer le prix de deux chambres pour une chambre à mobilité réduite c’est honteux;2;0;f9f61f81-ea88-4bcd-8dd4-445ecc3a46cb
France;1;Famille;séjour décevant au vue du prix;décoration, emplacement, le resto, le personnel;le rideau cassé, le lit bébé non fait pour notre arrivée er sans kit bebe;0;0;a0852922-94e9-4d67-8d90-f51bfcb8ff96
Irlande;2;Famille;Très bien;;;2;0;a1dd1f59-4783-43af-a649-4f3bea51d423
Royaume-Uni;1;Couple;Exceptionnel;;;0;0;a667fad6-e245-4166-90c7-7ba16a5d089b
France;1;Famille;Agréable;;;0;0;0d81770e-039a-4c5b-858b-788627b6992a
Royaume-Uni;2;Couple;magical short stay;;;0;0;9490dd18-dd09-47fe-863f-7ae792109b67
Royaume-Uni;1;Famille;Exceptionnel;;;0;1;9761d64a-b2ab-4975-872b-5ed3750be356
Royaume-Uni;1;Famille;enjoyable stay. good shuttle service to the parcs.;;;0;0;24b3d588-26ca-4902-8a1e-231bf6612801
France;1;Voyageur individuel;Passable;;;0;0;67a8bb9a-b854-4a3a-a341-5850352f23e5
Royaume-Uni;2;Famille;Exceptionnel;;;0;0;75aa1e8f-eda8-4de2-a183-8feea8f2da46
France;1;Famille;Exceptionnel;;;0;0;3d1bea40-ce77-4f5a-b837-da36ed62b4f9
France;1;Famille;Très bien;;;0;0;b37b0926-e005-4363-a93c-5dc2ca6cab9f
France;1;Couple;Bien ;"Le style western.
La baignoire.";Un peu de saleté dans la chambre.;0;2;3ae0527c-122f-497a-859b-7cb3cb368f43
Belgique;1;Famille;Fabuleux ;;;0;1;5915c7c0-f8b0-4591-8b7f-ce56d551dcfa
Brésil;1;Groupe;Exceptionnel;;;0;0;b6474bbf-9a5a-43e0-83e3-fec849bc9295
France;1;Famille;Fabuleux ;;;0;0;bf4e51f2-741c-483b-9063-f51ddc93f044
France;1;Famille;Fabuleux ;;;0;1;63f164bd-7c5b-42b4-a7ac-1cdab44597ab
Espagne;3;Famille;Fabuleux ;;;0;1;63e9151d-f871-4f98-81b6-8d7751669582
France;1;Famille;Fabuleux ;Le calme;L'absence de chaise ou de fauteuil pour se mettre au bureau de la chambre;0;0;1058adc4-6c6d-4b9c-a310-c096c5a298cb
France;1;Couple;Au vu du prix de la chambre déçus des problèmes rencontrés exposés ci-dessus. Par contre prise en charge rapide des prob;personnel, prise en charge des problèmes. restaurant;État de la chambre. tringle à rideaux arrachée tenant sur un bord de fenêtre, lavabo bouché, ampoule grillée.;0;1;114d5e2a-40bc-4b62-8e46-6c527f6bc25f
France;2;Famille;Bien ;Ils sont trop petits les chambres Niveau de prix correspondent pas;;1;0;3050603c-fdc5-49d2-a198-563cd79fdcfd
Maroc;1;Famille;Très bien;;;0;1;3ad251fb-5156-41b9-927b-77694889dc21
