Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel;level_grade_review;level_hotel;month_str;month_num;year;delay_comment;date
Perrine;France;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 15 mai 2022;Très sympa;8.0;"Très sympa 
Au calme 
Je trouve cher au vu des équipements 
Petit déjeuner à rajouter à 12€ par personne
Il manque des produits basiques : sac poubelle, sopalin ou mouchoir,café , coton …";Manque confort lit;0;PerrineFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 15 mai 2022Très sympa;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Run;France;Bungalow Tribu Trappeur;1;Mai 2022;Groupe; 15 mai 2022;Je conseillerais à mes proches et à mes amis pour ce magnifique séjour;10.0;"L accueil, les personnels au top 
J ai organisé ce séjour pour un EVJF entourés des amis et de la future mariée l endroit était sublime endroit super calme et la piscine que du bonheur je recommande";;0;RunFranceBungalow Tribu TrappeurMai 2022GroupeCommentaire envoyé le 15 mai 2022Je conseillerais à mes proches et à mes amis pour ce magnifique séjour;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Hakima;France;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 15 mai 2022;Très bien;8.0;"La piscine top! Le personnel très agréable accueillant et à l'écoute. 
Un endroit dépaysant !";La piscine est très loin du bungalow. Obligé d'y aller en voiture pas de navette mise en place.;0;HakimaFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 15 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Sebastien;France;Bungalow Tribu Pionnier;1;Avril 2022;Famille; 15 mai 2022;Très bien;8.0;;;0;SebastienFranceBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 15 mai 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Cav;France;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 15 mai 2022;Bien ;7.0;;;0;CavFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 15 mai 2022Bien ;Davy_Crockett_Ranch;1;1;mai;5;2022;0;2022-05-01
Marlies;Pays-Bas;Bungalow Tribu Trappeur;1;Mai 2022;Groupe; 14 mai 2022;zeker een aanrader, maar huisje voor 6 personen best krap;8.0;;;0;MarliesPays-BasBungalow Tribu TrappeurMai 2022GroupeCommentaire envoyé le 14 mai 2022zeker een aanrader, maar huisje voor 6 personen best krap;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Carl;Belgique;Bungalow Tribu Trappeur;2;Mai 2022;Groupe; 14 mai 2022;Exceptionnel;10.0;;;0;CarlBelgiqueBungalow Tribu TrappeurMai 2022GroupeCommentaire envoyé le 14 mai 2022Exceptionnel;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Tsz;Royaume-Uni;Bungalow Tribu Trappeur;2;Mai 2022;Famille; 14 mai 2022;Très bien;8.0;;;0;TszRoyaume-UniBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 14 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Natasha;Royaume-Uni;Bungalow Tribu Trappeur;4;Mai 2022;Famille; 14 mai 2022;a great property for family’s who want extra space, but be close to Disney.;9.0;;;0;NatashaRoyaume-UniBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 14 mai 2022a great property for family’s who want extra space, but be close to Disney.;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Romie;Pays-Bas;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 13 mai 2022;Fabuleux ;9.0;;;0;RomiePays-BasBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 13 mai 2022Fabuleux ;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
France;France;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 13 mai 2022;dépaysement total tout était bien pour passer un séjour en famille;10.0;"la piscine le décors 
le. côté nature 
l’espace des mobiles home";la piscine trop froide;0;FranceFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 13 mai 2022dépaysement total tout était bien pour passer un séjour en famille;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Elea;France;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 13 mai 2022;génial, ne pas hésiter à aller dans cet hôtel;10.0;magnifique piscine et endroit dépaysant;si il faudrait citer quelque , peut être bruyant quand le matin les gens partent aux parc car des bungalow on entend tout;0;EleaFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 13 mai 2022génial, ne pas hésiter à aller dans cet hôtel;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Elodie;Belgique;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 12 mai 2022;Fabuleux ;9.0;;;0;ElodieBelgiqueBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 12 mai 2022Fabuleux ;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Marie-sandrine;France;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 12 mai 2022;Reposant;8.0;L'endroit calme paisible charmant en pleine forêt c'était vraiment très agréable.;Rien;0;Marie-sandrineFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 12 mai 2022Reposant;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Danielle;Belgique;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 12 mai 2022;Très bien;8.0;la piscine est tres bien , dommage que l eau ne soit pas un peu plus chaude et que les portes et fenetres étaient ouvertes alors qu il était 21h30;la formule repas all in;0;DanielleBelgiqueBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 12 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Claire;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 11 mai 2022;Très bien;8.0;;;0;ClaireFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 11 mai 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Elodie;France;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 11 mai 2022;Très bien;8.0;Super complexe aquatique, propre, personnels nickel. Location bien équipée et propre;Matelas mauvais. Manque des volets, il y a simplement des rideaux occultants;0;ElodieFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 11 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Isabelle;France;Bungalow Tribu Trappeur;2;Mai 2022;Famille; 11 mai 2022;Exceptionnel;10.0;Fantastique pour un séjour en famille;;0;IsabelleFranceBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 11 mai 2022Exceptionnel;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Elodie;Belgique;Bungalow Tribu Trappeur;1;Avril 2022;Groupe; 10 mai 2022;Exceptionnel;10.0;;;0;ElodieBelgiqueBungalow Tribu TrappeurAvril 2022GroupeCommentaire envoyé le 10 mai 2022Exceptionnel;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Julia;Espagne;Bungalow Tribu Pionnier;1;Mai 2022;Famille; 9 mai 2022;Excepcional;9.0;;;0;JuliaEspagneBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 9 mai 2022Excepcional;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Anonyme;Luxembourg;;1;Mai 2022;Famille; 9 mai 2022;Très bien;8.0;;;0;AnonymeLuxembourgnanMai 2022FamilleCommentaire envoyé le 9 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Anonyme;France;;1;Mai 2022;Couple; 9 mai 2022;Fabuleux ;9.0;;;0;AnonymeFrancenanMai 2022CoupleCommentaire envoyé le 9 mai 2022Fabuleux ;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Michel;Pays-Bas;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 9 mai 2022;Fijne tijd gehad!;6.0;;;0;MichelPays-BasBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 9 mai 2022Fijne tijd gehad!;Davy_Crockett_Ranch;1;1;mai;5;2022;0;2022-05-01
Jelena;Suisse;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 9 mai 2022;Nice place to relax after Disneyland;7.0;;;0;JelenaSuisseBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 9 mai 2022Nice place to relax after Disneyland;Davy_Crockett_Ranch;1;1;mai;5;2022;0;2022-05-01
Melanie;Belgique;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 9 mai 2022;Très bien;8.0;;;0;MelanieBelgiqueBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 9 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Ana;Espagne;Bungalow Tribu Pionnier;6;Avril 2022;Famille; 9 mai 2022;perfecto todo;9.0;;;0;AnaEspagneBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 9 mai 2022perfecto todo;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Milanethe;Pays-Bas;Bungalow Tribu Pionnier;4;Mai 2022;Famille; 8 mai 2022;super leuk verblijf en kind vriendelijk!;8.0;;;0;MilanethePays-BasBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 8 mai 2022super leuk verblijf en kind vriendelijk!;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Natacha;Luxembourg;Bungalow Tribu Pionnier;2;Mai 2022;Famille; 8 mai 2022;Agréable;6.0;;;0;NatachaLuxembourgBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 8 mai 2022Agréable;Davy_Crockett_Ranch;1;1;mai;5;2022;0;2022-05-01
Valentino;Pays-Bas;Bungalow Tribu Pionnier;2;Mai 2022;Famille; 8 mai 2022;Bien ;7.0;;;0;ValentinoPays-BasBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 8 mai 2022Bien ;Davy_Crockett_Ranch;1;1;mai;5;2022;0;2022-05-01
Lambertus;Pays-Bas;Bungalow Tribu Pionnier;3;Mai 2022;Groupe; 8 mai 2022;zonde van de centen, kaarten van Disney zitten er niet bij, niets te doen, alles veel te duur;3.0;;;0;LambertusPays-BasBungalow Tribu PionnierMai 2022GroupeCommentaire envoyé le 8 mai 2022zonde van de centen, kaarten van Disney zitten er niet bij, niets te doen, alles veel te duur;Davy_Crockett_Ranch;0;1;mai;5;2022;0;2022-05-01
Olivier;France;Bungalow Tribu Pionnier;3;Mai 2022;Famille; 8 mai 2022;Exceptionnel;10.0;;;0;OlivierFranceBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 8 mai 2022Exceptionnel;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
H;Pays-Bas;Bungalow Tribu Pionnier;4;Mai 2022;Famille; 8 mai 2022;Très bien;8.0;;;0;HPays-BasBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 8 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Ying;Pays-Bas;Bungalow Tribu Pionnier;2;Mai 2022;Famille; 8 mai 2022;Teleurstelling;6.0;;;0;YingPays-BasBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 8 mai 2022Teleurstelling;Davy_Crockett_Ranch;1;1;mai;5;2022;0;2022-05-01
Zinaida;Pays-Bas;Bungalow Tribu Pionnier;3;Mai 2022;Groupe; 8 mai 2022;prima voor kort verblijf;9.0;;;0;ZinaidaPays-BasBungalow Tribu PionnierMai 2022GroupeCommentaire envoyé le 8 mai 2022prima voor kort verblijf;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Angela;Pays-Bas;Bungalow Tribu Pionnier;5;Mai 2022;Famille; 7 mai 2022;Très bien;8.0;;;0;AngelaPays-BasBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 7 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Sander;Pays-Bas;Bungalow Tribu Pionnier;3;Mai 2022;Famille; 4 mai 2022;Très bien;8.0;;;0;SanderPays-BasBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 4 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Justine;France;Bungalow Tribu Pionnier;1;Avril 2022;Famille; 4 mai 2022;Exceptionnel;10.0;;;0;JustineFranceBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 4 mai 2022Exceptionnel;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Nathalie;Royaume-Uni;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 3 mai 2022;very expensive for the quality of the accommodation.;5.0;;;0;NathalieRoyaume-UniBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 3 mai 2022very expensive for the quality of the accommodation.;Davy_Crockett_Ranch;0;1;avril;4;2022;1;2022-04-01
Laura;Royaume-Uni;Bungalow Tribu Trappeur;1;Mai 2022;Famille; 3 mai 2022;Brilliant will be back 😄;8.0;;;0;LauraRoyaume-UniBungalow Tribu TrappeurMai 2022FamilleCommentaire envoyé le 3 mai 2022Brilliant will be back 😄;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
F;France;Bungalow Tribu Trappeur;2;Avril 2022;Famille; 2 mai 2022;Ich komme wieder.;6.0;;;0;FFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 2 mai 2022Ich komme wieder.;Davy_Crockett_Ranch;1;1;avril;4;2022;1;2022-04-01
Alexandre;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 2 mai 2022;Exceptionnel;10.0;Propreté et personnel très serviable et souriant;;0;AlexandreFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 2 mai 2022Exceptionnel;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Gheatzz;Belgique;Bungalow Tribu Pionnier;2;Mai 2022;Famille; 2 mai 2022;Très bien;8.0;;;0;GheatzzBelgiqueBungalow Tribu PionnierMai 2022FamilleCommentaire envoyé le 2 mai 2022Très bien;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Katinka;Pays-Bas;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 2 mai 2022;Très bien;8.0;;;0;KatinkaPays-BasBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 2 mai 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Alex;Belgique;Bungalow Tribu Trappeur;1;Mai 2022;Couple; 2 mai 2022;Exceptionnel;10.0;;;0;AlexBelgiqueBungalow Tribu TrappeurMai 2022CoupleCommentaire envoyé le 2 mai 2022Exceptionnel;Davy_Crockett_Ranch;2;1;mai;5;2022;0;2022-05-01
Claudiomaori;Allemagne;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 2 mai 2022;Très bien;8.0;;;0;ClaudiomaoriAllemagneBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 2 mai 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Antoine;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 1 mai 2022;Nuit depaysante en famille;9.0;"L'emplacement en pleine nature au calme. La végétation est très bien entretenu avec de belles couleurs en cette période printanière.
Le logement est de taille suffisante pour 5 personnes.
Le personnel est accueillant et à l'écoute.
Nous avons adoré la piscine et le restaurant à volonté.";"Le chemin pour aller de notre chalet à la piscine est trop sinueux.
La propreté n'était pas parfaite dans le logement dans les coins et sous certains meubles.
Pas de sèche-cheveux présent.";0;AntoineFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 1 mai 2022Nuit depaysante en famille;Davy_Crockett_Ranch;2;1;avril;4;2022;1;2022-04-01
Elodie;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 30 avril 2022;excellent séjour splendide;10.0;tout;;0;ElodieFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 30 avril 2022excellent séjour splendide;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Adeline;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 29 avril 2022;Le personnel est vraiment très bien ! Mais un peu déçu pour le prix pour les petits détails...;6.0;Le cadre est joli. Nous étions très loin de la réception alors que l'hôtel n'était pas complet. Le personnel est très agréable. Nous avons réservé sur booking.com qui nous annonçait un sèche cheveux dans le bungalow. Mais il n'y en avait pas. Nous avons dû en demander un à la réception contre une caution de 50 euros. Il y avait quelques dysfonctionnements dans le bungalow comme un sèche serviette qui ne fonctionnait pas et une ampoule grillée. Ceux ci ont été changés dans l'heure. Il n'y a pas de torchon dans la cuisine. Ce qui est un peu embêtant....nous n'en n'avions pas prévu...A ce prix un petit essuie mains serait le bienvenu...Le bungalow était propre dans l'ensemble. Nous avons dîner au restaurant de l'hôtel pour un montant de 125 euros pour 2 adultes et 2 enfants. Un buffet à volonté. Je dois dire que le prix est tout de même élevé pour la qualité du repas. Mais bon...c'est le prix à payer pour séjourner à côté du parc. La piscine était très bien avec du personnel agréable. Parcontre il faisait froid car les baies vitrées étaient ouvertes. Nous claquions tous des dents. Mais ce fût tout de même un bon moment. Nous aurions aimé que la réception nous previenne que grâce à nos magic pass ( remis à notre arrivée) le parking Disney est gratuit. Nous avons eu l'information en lisant par hasard le fascicule remis en arrivant. Même en arrivant à Disney on ne nous demande pas si nous avons des magics pass. Donc nous aurions payé 30 euros de parking ....Parcontre on nous a dit que pour nous l'accès au parc se faisait à 8h30 au lieu de 10h pour les autres visiteurs ce qui est vraiment bien pour éviter la foule les bouchons et être garé près de l'entrée du parc.;Le cadre est joli. Nous étions très loin de la réception alors que l'hôtel n'était pas complet. Le personnel est très agréable. Nous avons réservé sur booking.com qui nous annonçait un sèche cheveux dans le bungalow. Mais il n'y en avait pas. Nous avons dû en demander un à la réception contre une caution de 50 euros. Il y avait quelques dysfonctionnements dans le bungalow comme un sèche serviette qui ne fonctionnait pas et une ampoule grillée. Ceux ci ont été changés dans l'heure. Il n'y a pas de torchon dans la cuisine. Ce qui est un peu embêtant....nous n'en n'avions pas prévu...A ce prix un petit essuie mains serait le bienvenu...Le bungalow était propre dans l'ensemble. Nous avons dîner au restaurant de l'hôtel pour un montant de 125 euros pour 2 adultes et 2 enfants. Un buffet à volonté. Je dois dire que le prix est tout de même élevé pour la qualité du repas. Mais bon...c'est le prix à payer pour séjourner à côté du parc. La piscine était très bien avec du personnel agréable. Parcontre il faisait froid car les baies vitrées étaient ouvertes. Nous claquions tous des dents. Mais ce fût tout de même un bon moment. Nous aurions aimé que la réception nous previenne que grâce à nos magic pass ( remis à notre arrivée) le parking Disney est gratuit. Nous avons eu l'information en lisant par hasard le fascicule remis en arrivant. Même en arrivant à Disney on ne nous demande pas si nous avons des magics pass. Donc nous aurions payé 30 euros de parking ....Parcontre on nous a dit que pour nous l'accès au parc se faisait à 8h30 au lieu de 10h pour les autres visiteurs ce qui est vraiment bien pour éviter la foule les bouchons et être garé près de l'entrée du parc.;0;AdelineFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 29 avril 2022Le personnel est vraiment très bien ! Mais un peu déçu pour le prix pour les petits détails...;Davy_Crockett_Ranch;1;1;avril;4;2022;0;2022-04-01
Coralie;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 29 avril 2022;Très bien;8.0;;;0;CoralieFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 29 avril 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
P;Liban;Bungalow Tribu Pionnier;3;Avril 2022;Famille; 28 avril 2022;it was a nice experience;7.0;;;1;PLibanBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 28 avril 2022it was a nice experience;Davy_Crockett_Ranch;1;1;avril;4;2022;0;2022-04-01
Brice;France;Bungalow Tribu Trappeur;2;Avril 2022;Famille; 27 avril 2022;Très bien;8.0;;;0;BriceFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 27 avril 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Dimitar;Espagne;Bungalow Tribu Pionnier;5;Avril 2022;Famille; 26 avril 2022;Fabuleux ;9.0;;;0;DimitarEspagneBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 26 avril 2022Fabuleux ;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Elodie;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 26 avril 2022;Très bien;8.0;;;0;ElodieFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 26 avril 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Nuno;France;Bungalow Tribu Trappeur;1;Avril 2022;Groupe; 25 avril 2022;Fabuleux ;9.0;;;0;NunoFranceBungalow Tribu TrappeurAvril 2022GroupeCommentaire envoyé le 25 avril 2022Fabuleux ;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Giuseppe;Suisse;Bungalow Tribu Pionnier;1;Avril 2022;Groupe; 25 avril 2022;Exceptionnel;10.0;;;0;GiuseppeSuisseBungalow Tribu PionnierAvril 2022GroupeCommentaire envoyé le 25 avril 2022Exceptionnel;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Claudiomaori;Allemagne;Bungalow Tribu Trappeur;2;Avril 2022;Groupe; 25 avril 2022;Schöner Aufenthalt mit 4 Erwachsenen - ideal!;8.0;;;2;ClaudiomaoriAllemagneBungalow Tribu TrappeurAvril 2022GroupeCommentaire envoyé le 25 avril 2022Schöner Aufenthalt mit 4 Erwachsenen - ideal!;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Isabelle;Suisse;Bungalow Tribu Pionnier;4;Avril 2022;Famille; 24 avril 2022;Top;9.0;;;0;IsabelleSuisseBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 24 avril 2022Top;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Guylain;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 24 avril 2022;Cadre très agréable mais tarif non justifié.;7.0;L’environnement boisé. Le calme.;"Manque de vaisselle (pas de bols par exemple)
Cafetière basique ☹️ Une cafetière à capsules serait plus pratique pour les séjours. Un kit de base avec sel sucre capsule de café sachet de thé serait très appréciable. Et au prix de la nuit 400€ pour un mobile home vieillissant on aurait également apprécié un kit de bienvenue avec des gâteaux, sucettes à l’effigie de Mickey pour les enfants. 
Surpris de ne pas avoir la possibilité de trier nos déchets dans le logement qui ne dispose que d’une poubelle. L’écologie ne fait pas partie des préoccupations de Mickey. 
Bref on est bien accueilli avec le sourire mais c’est tout ce que Mickey vous offrira.";0;GuylainFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 24 avril 2022Cadre très agréable mais tarif non justifié.;Davy_Crockett_Ranch;1;1;avril;4;2022;0;2022-04-01
Nadja;Suisse;Bungalow Tribu Trappeur;2;Avril 2022;Famille; 24 avril 2022;Unser Aufenthalt war schön, ob wir allerdings nochmals reservieren würden, ist nicht sicher.;6.0;;;0;NadjaSuisseBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 24 avril 2022Unser Aufenthalt war schön, ob wir allerdings nochmals reservieren würden, ist nicht sicher.;Davy_Crockett_Ranch;1;1;avril;4;2022;0;2022-04-01
Laura;Royaume-Uni;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 23 avril 2022;Great location, lovely setting, friendly staff;7.0;;;0;LauraRoyaume-UniBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 23 avril 2022Great location, lovely setting, friendly staff;Davy_Crockett_Ranch;1;1;avril;4;2022;0;2022-04-01
Tatiana;Belgique;Bungalow Tribu Pionnier;2;Avril 2022;Famille; 23 avril 2022;Fabuleux ;9.0;;;0;TatianaBelgiqueBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 23 avril 2022Fabuleux ;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Tatiana;Belgique;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 23 avril 2022;Fabuleux ;9.0;;;0;TatianaBelgiqueBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 23 avril 2022Fabuleux ;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Tatiana;Belgique;Bungalow Tribu Trappeur;2;Avril 2022;Famille; 23 avril 2022;Fabuleux ;9.0;;;0;TatianaBelgiqueBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 23 avril 2022Fabuleux ;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Cathy;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 22 avril 2022;Exceptionnel;10.0;"Proximité Disney
Piscine superbe";;0;CathyFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 22 avril 2022Exceptionnel;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Brimberg;Israël;Bungalow Tribu Pionnier;4;Avril 2022;Famille; 22 avril 2022;Très bien;8.0;;;0;BrimbergIsraëlBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 22 avril 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Barbara;Belgique;Bungalow Tribu Trappeur;2;Avril 2022;Famille; 22 avril 2022;Goed verblijf gehad;8.0;;;1;BarbaraBelgiqueBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 22 avril 2022Goed verblijf gehad;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Ariane;Suisse;Bungalow Tribu Pionnier;1;Avril 2022;Famille; 22 avril 2022;Fabuleux ;9.0;;;0;ArianeSuisseBungalow Tribu PionnierAvril 2022FamilleCommentaire envoyé le 22 avril 2022Fabuleux ;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Ophélie;France;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 21 avril 2022;Bien ;7.0;"L'endroit est vraiment sympatique, si vous recherchez un endroit nature vous y trouverez votre compte.
La piscine est bien surtout à l'horaire où nous y sommes allés (vers 10h00) pas trop de monde.
Nous avons passé un bon moment.";"Les horaires pour avoir le logement sont un peu tardifs et nous devons le rendre tôt. Après une journée et soirée a DLP ça fait juste pour se reposer. 
La piscine était très bien mais l'eau un peu fraiche.
Pour le prix je trouve ça un peu chère pour ce que c'est. Surtout que nous étions dans le fond du ranch et nous entendons fort le bruit exterieur.";0;OphélieFranceBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 21 avril 2022Bien ;Davy_Crockett_Ranch;1;1;avril;4;2022;0;2022-04-01
Filippo;Suisse;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 20 avril 2022;Très bien;8.0;;;0;FilippoSuisseBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 20 avril 2022Très bien;Davy_Crockett_Ranch;2;1;avril;4;2022;0;2022-04-01
Donna;Royaume-Uni;Bungalow Tribu Trappeur;1;Avril 2022;Famille; 20 avril 2022;Agréable;6.0;;;0;DonnaRoyaume-UniBungalow Tribu TrappeurAvril 2022FamilleCommentaire envoyé le 20 avril 2022Agréable;Davy_Crockett_Ranch;1;1;avril;4;2022;0;2022-04-01
